attendance_id,email,learner_name,attendance_date,week_number,join_time,leave_time,duration_minutes,duration_hours,is_attended
1,lucasanderson@example.com,Lucas Anderson,2024-08-05,1,06:02 PM,07:48 PM,106.0,1.7666666666666666,1
2,emilyjohnson@example.com,Emily Johnson,2024-08-05,1,06:06 PM,07:54 PM,108.0,1.8,1
3,benjaminharris@example.com,Benjamin Harris,2024-08-05,1,06:14 PM,07:57 PM,103.0,1.7166666666666666,1
4,isabellamoore@example.com,Isabella Moore,2024-08-05,1,06:14 PM,07:52 PM,98.0,1.6333333333333333,1
5,jamescarter@example.com,James Carter,2024-08-05,1,06:02 PM,07:52 PM,110.0,1.8333333333333333,1
6,oliviamartin@example.com,Olivia Martin,2024-08-05,1,06:10 PM,07:50 PM,100.0,1.6666666666666667,1
7,alexanderwright@example.com,Alexander Wright,2024-08-05,1,06:01 PM,07:46 PM,105.0,1.75,1
8,sophialewis@example.com,Sophia Lewis,2024-08-05,1,06:06 PM,07:53 PM,107.0,1.7833333333333334,1
9,michaelscott@example.com,Michael Scott,2024-08-05,1,06:03 PM,07:51 PM,108.0,1.8,1
10,ameliaclark@example.com,Amelia Clark,2024-08-05,1,06:04 PM,07:58 PM,114.0,1.9,1
11,noahrobinson@example.com,Noah Robinson,2024-08-05,1,06:02 PM,07:50 PM,108.0,1.8,1
12,gracerodriguez@example.com,Grace Rodriguez,2024-08-05,1,06:07 PM,07:56 PM,109.0,1.8166666666666667,1
13,elijahturner@example.com,Elijah Turner,2024-08-05,1,06:13 PM,07:53 PM,100.0,1.6666666666666667,1
14,avamitchell@example.com,Ava Mitchell,2024-08-05,1,06:06 PM,07:49 PM,103.0,1.7166666666666666,1
15,williamcooper@example.com,William Cooper,2024-08-05,1,06:02 PM,07:48 PM,106.0,1.7666666666666666,1
16,charlottehill@example.com,Charlotte Hill,2024-08-05,1,06:00 PM,07:53 PM,113.0,1.8833333333333333,1
17,henryadams@example.com,Henry Adams,2024-08-05,1,06:10 PM,07:58 PM,108.0,1.8,1
18,evelynbaker@example.com,Evelyn Baker,2024-08-05,1,06:12 PM,07:57 PM,105.0,1.75,1
19,samuelcollins@example.com,Samuel Collins,2024-08-05,1,06:06 PM,07:52 PM,106.0,1.7666666666666666,1
20,miaallen@example.com,Mia Allen,2024-08-05,1,06:14 PM,07:45 PM,91.0,1.5166666666666666,1
21,danielbennett@example.com,Daniel Bennett,2024-08-05,1,06:12 PM,07:58 PM,106.0,1.7666666666666666,1
22,harperparker@example.com,Harper Parker,2024-08-05,1,06:08 PM,07:48 PM,100.0,1.6666666666666667,1
23,jacobyoung@example.com,Jacob Young,2024-08-05,1,06:04 PM,08:00 PM,116.0,1.9333333333333333,1
24,lilyward@example.com,Lily Ward,2024-08-05,1,06:07 PM,07:59 PM,112.0,1.8666666666666667,1
25,matthewfoster@example.com,Matthew Foster,2024-08-05,1,06:15 PM,07:57 PM,102.0,1.7,1
26,abigailbrooks@example.com,Abigail Brooks,2024-08-05,1,06:13 PM,07:54 PM,101.0,1.6833333333333333,1
27,josephgriffin@example.com,Joseph Griffin,2024-08-05,1,06:12 PM,07:58 PM,106.0,1.7666666666666666,1
28,ellareed@example.com,Ella Reed,2024-08-05,1,06:15 PM,07:50 PM,95.0,1.5833333333333333,1
29,davidflores@example.com,David Flores,2024-08-05,1,06:10 PM,07:55 PM,105.0,1.75,1
30,chloehoward@example.com,Chloe Howard,2024-08-05,1,06:06 PM,07:57 PM,111.0,1.85,1
31,andrewstewart@example.com,Andrew Stewart,2024-08-05,1,06:04 PM,07:52 PM,108.0,1.8,1
32,victoriaking@example.com,Victoria King,2024-08-05,1,06:08 PM,07:54 PM,106.0,1.7666666666666666,1
33,thomasphillips@example.com,Thomas Phillips,2024-08-05,1,06:05 PM,07:56 PM,111.0,1.85,1
34,hannahbutler@example.com,Hannah Butler,2024-08-05,1,06:01 PM,08:00 PM,119.0,1.9833333333333334,1
35,christophermorgan@example.com,Christopher Morgan,2024-08-05,1,06:00 PM,07:57 PM,117.0,1.95,1
36,arialee@example.com,Aria Lee,2024-08-05,1,06:02 PM,07:52 PM,110.0,1.8333333333333333,1
37,anthonybell@example.com,Anthony Bell,2024-08-05,1,06:13 PM,07:52 PM,99.0,1.65,1
38,nataliesanders@example.com,Natalie Sanders,2024-08-05,1,06:01 PM,07:54 PM,113.0,1.8833333333333333,1
39,joshuamorris@example.com,Joshua Morris,2024-08-05,1,06:04 PM,07:50 PM,106.0,1.7666666666666666,1
40,scarlettrivera@example.com,Scarlett Rivera,2024-08-05,1,06:01 PM,07:51 PM,110.0,1.8333333333333333,1
41,jonathanperry@example.com,Jonathan Perry,2024-08-05,1,06:13 PM,07:54 PM,101.0,1.6833333333333333,1
42,penelopecook@example.com,Penelope Cook,2024-08-05,1,06:13 PM,07:58 PM,105.0,1.75,1
43,ryanpeterson@example.com,Ryan Peterson,2024-08-05,1,06:08 PM,07:51 PM,103.0,1.7166666666666666,1
44,eleanorbarnes@example.com,Eleanor Barnes,2024-08-05,1,06:15 PM,07:50 PM,95.0,1.5833333333333333,1
45,calebjenkins@example.com,Caleb Jenkins,2024-08-05,1,06:12 PM,07:45 PM,93.0,1.55,1
46,zoeyrussell@example.com,Zoey Russell,2024-08-05,1,06:03 PM,07:58 PM,115.0,1.9166666666666667,1
47,jackmurphy@example.com,Jack Murphy,2024-08-05,1,06:02 PM,07:51 PM,109.0,1.8166666666666667,1
48,madisonhayes@example.com,Madison Hayes,2024-08-05,1,06:12 PM,07:50 PM,98.0,1.6333333333333333,1
49,charlescoleman@example.com,Charles Coleman,2024-08-05,1,06:05 PM,07:54 PM,109.0,1.8166666666666667,1
50,laylacooper@example.com,Layla Cooper,2024-08-05,1,06:01 PM,07:46 PM,105.0,1.75,1
51,ethankelly@example.com,Ethan Kelly,2024-08-05,1,06:04 PM,08:00 PM,116.0,1.9333333333333333,1
52,sofiarichardson@example.com,Sofia Richardson,2024-08-05,1,06:00 PM,07:47 PM,107.0,1.7833333333333334,1
53,owencox@example.com,Owen Cox,2024-08-05,1,06:08 PM,07:56 PM,108.0,1.8,1
54,noraward@example.com,Nora Ward,2024-08-05,1,06:11 PM,07:48 PM,97.0,1.6166666666666667,1
55,isaacprice@example.com,Isaac Price,2024-08-05,1,06:04 PM,07:47 PM,103.0,1.7166666666666666,1
56,hazellong@example.com,Hazel Long,2024-08-05,1,06:03 PM,07:49 PM,106.0,1.7666666666666666,1
57,dylanpowell@example.com,Dylan Powell,2024-08-05,1,06:07 PM,07:58 PM,111.0,1.85,1
58,lillianfisher@example.com,Lillian Fisher,2024-08-05,1,06:15 PM,07:56 PM,101.0,1.6833333333333333,1
59,christianhenderson@example.com,Christian Henderson,2024-08-05,1,06:05 PM,07:50 PM,105.0,1.75,1
60,audreymyers@example.com,Audrey Myers,2024-08-05,1,06:12 PM,07:55 PM,103.0,1.7166666666666666,1
61,lukebryant@example.com,Luke Bryant,2024-08-05,1,06:10 PM,07:48 PM,98.0,1.6333333333333333,1
62,lucynguyen@example.com,Lucy Nguyen,2024-08-05,1,06:12 PM,07:55 PM,103.0,1.7166666666666666,1
63,carterkim@example.com,Carter Kim,2024-08-05,1,06:05 PM,07:54 PM,109.0,1.8166666666666667,1
64,samanthachavez@example.com,Samantha Chavez,2024-08-05,1,06:05 PM,07:52 PM,107.0,1.7833333333333334,1
